iter	Passed	Remaining
801	11919	2942
802	11929	2926
803	11941	2911
804	11952	2895
805	11967	2880
806	11978	2864
807	11992	2849
808	12004	2834
809	12017	2818
810	12029	2803
811	12040	2787
812	12050	2771
813	12061	2755
814	12078	2741
815	12091	2726
816	12103	2710
817	12116	2695
818	12127	2680
819	12147	2666
820	12158	2650
821	12173	2636
822	12183	2620
823	12198	2605
824	12209	2589
825	12220	2574
826	12232	2558
827	12243	2543
828	12253	2527
829	12263	2511
830	12276	2496
831	12287	2481
832	12297	2465
833	12310	2450
834	12321	2434
835	12332	2419
836	12347	2404
837	12358	2389
838	12375	2374
839	12392	2360
840	12405	2345
841	12419	2330
842	12429	2314
843	12443	2300
844	12454	2284
845	12464	2269
846	12476	2253
847	12487	2238
848	12500	2223
849	12511	2207
850	12521	2192
851	12533	2177
852	12544	2161
853	12555	2146
854	12566	2131
855	12582	2116
856	12597	2102
857	12609	2086
858	12620	2071
859	12631	2056
860	12653	2042
861	12664	2027
862	12676	2012
863	12689	1997
864	12703	1982
865	12713	1967
866	12723	1951
867	12736	1936
868	12747	1921
869	12757	1906
870	12770	1891
871	12780	1876
872	12791	1860
873	12802	1845
874	12813	1830
875	12829	1816
876	12843	1801
877	12853	1786
878	12865	1771
879	12877	1756
880	12888	1740
881	12900	1725
882	12911	1710
883	12925	1696
884	12940	1681
885	12954	1666
886	12967	1652
887	12978	1636
888	12990	1622
889	13003	1607
890	13014	1592
891	13025	1577
892	13038	1562
893	13049	1547
894	13061	1532
895	13073	1517
896	13084	1502
897	13096	1487
898	13107	1472
899	13118	1457
900	13135	1443
901	13147	1428
902	13160	1413
903	13173	1398
904	13184	1384
905	13200	1369
906	13219	1355
907	13233	1340
908	13243	1325
909	13253	1310
910	13265	1296
911	13277	1281
912	13289	1266
913	13300	1251
914	13310	1236
915	13321	1221
916	13334	1206
917	13345	1192
918	13355	1177
919	13372	1162
920	13383	1147
921	13396	1133
922	13407	1118
923	13418	1103
924	13432	1089
925	13444	1074
926	13454	1059
927	13465	1044
928	13476	1029
929	13492	1015
930	13503	1000
931	13513	985
932	13526	971
933	13537	956
934	13547	941
935	13559	927
936	13572	912
937	13583	897
938	13594	883
939	13605	868
940	13623	854
941	13637	839
942	13649	825
943	13662	810
944	13672	795
945	13682	781
946	13693	766
947	13703	751
948	13715	737
949	13727	722
950	13741	708
951	13751	693
952	13763	678
953	13774	664
954	13787	649
955	13799	635
956	13809	620
957	13822	606
958	13835	591
959	13848	577
960	13860	562
961	13875	548
962	13884	533
963	13895	518
964	13907	504
965	13921	489
966	13933	475
967	13943	460
968	13954	446
969	13965	431
970	13976	417
971	13987	402
972	13997	388
973	14007	373
974	14022	359
975	14033	345
976	14044	330
977	14059	316
978	14070	301
979	14081	287
980	14093	272
981	14103	258
982	14114	244
983	14126	229
984	14138	215
985	14156	201
986	14169	186
987	14187	172
988	14200	157
989	14213	143
990	14224	129
991	14238	114
992	14251	100
993	14267	86
994	14289	71
995	14312	57
996	14352	43
997	14374	28
998	14393	14
999	14418	0
