,ngram,ngram_index
832,love sweatshirt truly,6295
833,sweatshirt truly pay,10758
834,truly pay much,11498
835,pay much attention,7659
836,much attention line,6808
837,attention line local,460
838,line local store,5718
839,local store one,5855
840,store one returned,10421
841,one returned caught,7241
842,returned caught eye,8726
843,caught eye immediately,1434
844,eye immediately flowers,3134
845,immediately flowers embroidered,4942
846,flowers embroidered nice,3845
847,embroidered nice substantial,2873
848,nice substantial rope,7054
849,substantial rope type,10584
850,rope type yarn,8881
851,type yarn give,11631
852,yarn give demential,12919
853,give demential effect,4116
854,demential effect torn,2328
855,effect torn holes,2832
856,torn holes give,11383
857,holes give appearance,4788
858,give appearance loved,4115
859,appearance loved garment,333
860,loved garment closetand,6327
861,garment closetand become,4033
862,closetand become mine,1567
863,become mine along,688
864,mine along jacket,6729
865,along jacket embroideryfunny,154
866,jacket embroideryfunny pieces,5062
867,embroideryfunny pieces give,2881
868,pieces give second,7957
869,give second thought,4129
870,second thought become,9115
871,thought become li,11038
872,eye umbrella print,3138
873,umbrella print shirt,11650
874,print shirt able,8211
875,shirt able scoop,9300
876,able scoop small,9
877,scoop small discount,9078
878,small discount typically,9997
879,discount typically get,2471
880,typically get maeve,11639
881,get maeve tops,4071
882,maeve tops per,6439
883,tops per reviews,11371
884,per reviews got,7683
885,reviews got definitely,8774
886,got definitely could,4293
887,definitely could done,2296
888,could done ill,1997
889,done ill probably,2482
890,ill probably stay,4931
891,probably stay adorable,8231
892,stay adorable print,10333
893,adorable print comfortable,104
894,print comfortable well,8204
895,comfortable well made,1810
896,top boxy side,11239
897,boxy side design,1139
898,side design cute,9513
899,design cute love,2357
900,cute love pink,2186
901,love pink color,6269
902,pink color problem,7970
903,color problem shirt,1659
904,problem shirt huge,8236
905,shirt huge arm,9316
906,huge arm holes,4888
907,arm holes one,377
908,holes one side,4790
909,one side could,7248
910,side could see,9510
911,could see top,2018
912,see top bra,9147
913,top bra side,11240
914,bra side side,1156
915,side side bra,9526
916,side bra could,9507
917,bra could also,1147
918,could also see,1988
919,also see inside,206
920,see inside back,9134
921,inside back shirt,4974
922,back shirt arm,555
923,shirt arm hole,9303
924,arm hole big,374
925,hole big went,4781
926,big went back,788
927,went back reorder,12410
928,back reorder usually,551
929,reorder usually order,8657
930,usually order xs,11785
931,order xs xsp,7363
932,xs xsp xsp,12900
933,coat spectacular love,1583
934,spectacular love first,10274
935,love first sight,6216
936,first sight trying,3508
937,sight trying store,9541
938,trying store decided,11537
939,store decided really,10402
940,decided really wanted,2278
941,really wanted even,8533
942,wanted even full,11984
943,even full price,2971
944,full price design,3983
945,price design unique,8182
946,design unique gorgeous,2370
947,unique gorgeous see,11708
948,gorgeous see coats,4280
949,see coats like,9125
950,coats like street,1586
951,like street cookiecutter,5660
952,street cookiecutter soft,10460
953,cookiecutter soft yet,1945
954,soft yet warm,10182
955,yet warm gorgeous,12964
956,warm gorgeous ochre,12016
957,gorgeous ochre colored,4274
958,ochre colored lining,7166
959,colored lining making,1683
960,lining making easy,5738
961,making easy put,6491
962,easy put standout,2821
963,put standout bit,8356
964,standout bit lining,10319
965,bit lining revealed,832
966,lining revealed seems,5739
967,revealed seems fit,8737
968,seems fit reviewers,9172
969,fit reviewers complain,3612
970,reviewers complain see,8761
971,complain see tried,1851
972,see tried size,9148
973,purchased skirt absolutely,8328
974,skirt absolutely comfortable,9839
975,absolutely comfortable skirt,19
976,comfortable skirt every,1801
977,skirt every seasonevery,9851
978,every seasonevery color,3030
979,seasonevery color imaginable,9107
980,color imaginable go,1633
981,imaginable go skirt,4937
982,go skirt great,4186
983,skirt great denim,9858
984,great denim shirt,4384
985,denim shirt lightweight,2336
986,shirt lightweight cotton,9318
987,lightweight cotton knit,5548
988,cotton knit makes,1981
989,knit makes skirt,5226
990,makes skirt comfy,6487
991,skirt comfy temperature,9846
992,comfy temperature waistband,1830
993,temperature waistband wide,10875
994,waistband wide slimming,11931
995,wide slimming tummy,12487
996,slimming tummy stand,9952
