iter	Passed	Remaining
776	19435	5578
777	19461	5553
778	19484	5527
779	19507	5502
780	19531	5476
781	19556	5451
782	19579	5426
783	19605	5401
784	19631	5376
785	19653	5351
786	19679	5326
787	19704	5301
788	19725	5275
789	19750	5250
790	19774	5224
791	19799	5199
792	19822	5174
793	19861	5152
794	19883	5127
795	19907	5101
796	19932	5076
797	19985	5059
798	20010	5033
799	20035	5008
800	20061	4984
801	20087	4959
802	20112	4934
803	20135	4908
804	20158	4883
805	20180	4857
806	20204	4832
807	20231	4807
808	20254	4782
809	20280	4757
810	20304	4731
811	20328	4706
812	20353	4681
813	20392	4659
814	20423	4635
815	20448	4610
816	20472	4585
817	20495	4560
818	20534	4538
819	20559	4512
820	20582	4487
821	20608	4462
822	20633	4437
823	20657	4412
824	20679	4386
825	20702	4361
826	20725	4335
827	20749	4310
828	20790	4288
829	20813	4262
830	20838	4237
831	20861	4212
832	20886	4187
833	20910	4162
834	20940	4137
835	20987	4117
836	21009	4091
837	21033	4066
838	21058	4040
839	21082	4015
840	21105	3990
841	21131	3965
842	21155	3940
843	21178	3914
844	21200	3888
845	21225	3863
846	21251	3838
847	21275	3813
848	21299	3788
849	21323	3762
850	21347	3737
851	21371	3712
852	21396	3687
853	21423	3662
854	21445	3637
855	21471	3612
856	21498	3587
857	21522	3562
858	21544	3536
859	21567	3511
860	21592	3485
861	21618	3460
862	21644	3435
863	21667	3410
864	21692	3385
865	21716	3360
866	21739	3334
867	21759	3309
868	21784	3283
869	21807	3258
870	21827	3232
871	21850	3207
872	21872	3181
873	21896	3156
874	21919	3131
875	21941	3105
876	21995	3084
877	22025	3060
878	22048	3035
879	22072	3009
880	22100	2985
881	22123	2959
882	22148	2934
883	22173	2909
884	22198	2884
885	22222	2859
886	22247	2834
887	22271	2809
888	22294	2783
889	22321	2758
890	22347	2733
891	22369	2708
892	22395	2683
893	22420	2658
894	22444	2633
895	22466	2607
896	22485	2581
897	22510	2556
898	22535	2531
899	22558	2506
900	22586	2481
901	22609	2456
902	22632	2431
903	22657	2406
904	22679	2380
905	22702	2355
906	22727	2330
907	22752	2305
908	22777	2280
909	22802	2255
910	22824	2229
911	22848	2204
912	22871	2179
913	22898	2154
914	22923	2129
915	22947	2104
916	22996	2081
917	23019	2056
918	23041	2030
919	23066	2005
920	23091	1980
921	23116	1955
922	23139	1930
923	23164	1905
924	23189	1880
925	23212	1855
926	23234	1829
927	23258	1804
928	23284	1779
929	23311	1754
930	23334	1729
931	23360	1704
932	23384	1679
933	23412	1654
934	23451	1630
935	23475	1605
936	23499	1580
937	23526	1555
938	23551	1529
939	23579	1505
940	23601	1479
941	23624	1454
942	23648	1429
943	23673	1404
944	23699	1379
945	23725	1354
946	23749	1329
947	23772	1303
948	23796	1278
949	23821	1253
950	23845	1228
951	23869	1203
952	23895	1178
953	23919	1153
954	23943	1128
955	23968	1103
956	24021	1079
957	24048	1054
958	24070	1029
959	24094	1003
960	24119	978
961	24144	953
962	24169	928
963	24194	903
964	24217	878
965	24239	853
966	24263	828
967	24288	802
968	24311	777
969	24332	752
970	24354	727
971	24376	702
972	24400	677
973	24426	652
974	24449	626
975	24470	601
976	24492	576
977	24515	551
978	24537	526
979	24558	501
980	24582	476
981	24602	450
982	24625	425
983	24646	400
984	24671	375
985	24694	350
986	24714	325
987	24735	300
988	24781	275
989	24802	250
990	24823	225
991	24845	200
992	24866	175
993	24888	150
994	24908	125
995	24928	100
996	24950	75
997	24970	50
998	25020	25
999	25042	0
